book_id,id,work_id,original_publication_year,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
1,27.0,41335427.0,2005.0,4.54,1678823.0,1785676.0,27520.0,7308.0,21516.0,136333.0,459028.0,1161491.0
2,21.0,2809203.0,2003.0,4.46,1735368.0,1840548.0,28685.0,9528.0,31577.0,180210.0,494427.0,1124806.0
3,2.0,4640799.0,1997.0,4.44,4602479.0,4800065.0,75867.0,75504.0,101676.0,455024.0,1156318.0,3011543.0
5,18.0,2402163.0,1999.0,4.53,1832823.0,1969375.0,36099.0,6716.0,20413.0,166129.0,509447.0,1266670.0
6,24.0,3046572.0,2000.0,4.53,1753043.0,1868642.0,31084.0,6676.0,20210.0,151785.0,494926.0,1195045.0
8,3275.0,21457576.0,2003.0,4.77,33220.0,33424.0,156.0,317.0,233.0,978.0,3686.0,28210.0
10,3753.0,21457570.0,2005.0,4.73,24618.0,26274.0,882.0,203.0,186.0,946.0,3891.0,21048.0
11,54.0,3078186.0,1979.0,4.2,936782.0,1006479.0,20345.0,21764.0,41962.0,145173.0,299579.0,498001.0
13,337.0,135328.0,1996.0,4.37,222842.0,238420.0,4254.0,2657.0,6328.0,26431.0,66655.0,136349.0
21,374.0,2305997.0,2003.0,4.19,191535.0,206367.0,9065.0,3514.0,7196.0,29992.0,71534.0,94131.0
24,1460.0,2611786.0,2000.0,4.05,58688.0,66668.0,4455.0,607.0,2214.0,12998.0,28184.0,22665.0
25,1976.0,3419048.0,1998.0,3.89,44610.0,49430.0,2335.0,601.0,2332.0,12624.0,20065.0,13808.0
26,2321.0,1888943.0,1989.0,3.83,40254.0,42202.0,2119.0,1100.0,2653.0,10395.0,16124.0,11930.0
27,2279.0,3164459.0,1991.0,3.88,42170.0,45390.0,2168.0,874.0,2545.0,11191.0,17477.0,13303.0
28,1449.0,940892.0,1995.0,3.91,66947.0,72421.0,3323.0,1073.0,3717.0,17241.0,29024.0,21366.0
29,4079.0,2170063.0,1990.0,3.95,24133.0,26951.0,1993.0,333.0,1280.0,6050.0,10985.0,8303.0
30,964.0,89369.0,1973.0,4.59,90907.0,94348.0,1565.0,826.0,1281.0,5819.0,19982.0,66440.0
33,189.0,3462456.0,1955.0,4.47,389054.0,436346.0,9365.0,4807.0,9577.0,37552.0,106818.0,277592.0
34,19.0,3204327.0,1954.0,4.34,1766803.0,1832541.0,15333.0,38031.0,55862.0,202332.0,493922.0,1042394.0
36,4229.0,4414.0,2012.0,4.53,18788.0,18911.0,49.0,297.0,282.0,1556.0,3743.0,13033.0
50,388.0,1158125.0,1986.0,3.68,222553.0,231963.0,10378.0,12070.0,22390.0,59179.0,73180.0,65144.0
67,3504.0,1062798.0,2003.0,3.82,26550.0,29459.0,2825.0,831.0,2186.0,6907.0,11005.0,8530.0
93,639.0,1738595.0,1880.0,3.97,144497.0,154669.0,2667.0,2236.0,8362.0,37291.0,50838.0,55942.0
98,7683.0,4462.0,1989.0,3.86,10807.0,13247.0,784.0,359.0,816.0,3301.0,4586.0,4185.0
105,2817.0,3634569.0,1985.0,3.89,34822.0,37155.0,552.0,676.0,2612.0,9170.0,12496.0,12201.0
106,1105.0,3634570.0,1969.0,3.86,82580.0,90432.0,2283.0,1026.0,5333.0,23541.0,36242.0,24290.0
112,1262.0,3634573.0,1976.0,3.9,74133.0,79736.0,1374.0,861.0,4425.0,20138.0,30723.0,23589.0
117,2491.0,3634575.0,1984.0,3.83,40415.0,43369.0,612.0,715.0,3037.0,11673.0,15212.0,12732.0
119,3230.0,4479.0,2002.0,4.59,24340.0,24412.0,67.0,211.0,220.0,1751.0,5011.0,17219.0
122,1597.0,649656.0,1989.0,4.34,57312.0,60575.0,4581.0,698.0,1628.0,6814.0,18645.0,32790.0
231,4081.0,1005335.0,2004.0,3.4,19293.0,21580.0,1891.0,1481.0,2886.0,6557.0,6890.0,3766.0
249,1999.0,543143.0,1934.0,3.71,45518.0,49701.0,2526.0,2313.0,4591.0,12278.0,16494.0,14025.0
250,6787.0,1190908.0,1938.0,3.85,12082.0,13487.0,529.0,352.0,939.0,3153.0,5005.0,4038.0
264,1783.0,1434368.0,1881.0,3.76,55019.0,59317.0,2105.0,1935.0,4908.0,15386.0,20335.0,16753.0
275,4602.0,1009849.0,1984.0,3.76,18947.0,24857.0,1684.0,656.0,2197.0,6541.0,8632.0,6831.0
291,7242.0,1676536.0,1912.0,3.93,5611.0,12435.0,1425.0,272.0,792.0,2796.0,4251.0,4324.0
295,293.0,3077988.0,1882.0,3.82,268012.0,310515.0,7917.0,5349.0,19127.0,86487.0,114968.0,84584.0
304,5915.0,313957.0,1876.0,3.82,17723.0,19145.0,728.0,543.0,1361.0,4705.0,6835.0,5701.0
320,94.0,3295655.0,1967.0,4.04,490565.0,575667.0,21671.0,27340.0,37646.0,87675.0,155809.0,267197.0
343,397.0,2977727.0,1985.0,4.0,178135.0,222754.0,10057.0,5659.0,12862.0,41804.0,78658.0,83771.0
348,6123.0,2055615.0,1957.0,4.0,15298.0,18028.0,829.0,132.0,745.0,4180.0,6964.0,6007.0
350,371.0,908211.0,1961.0,3.91,220301.0,229222.0,6293.0,10416.0,16204.0,45343.0,69937.0,87322.0
353,4034.0,75443.0,1973.0,3.96,25603.0,27482.0,683.0,663.0,1766.0,5936.0,8866.0,10251.0
355,7904.0,924656.0,1984.0,3.77,14592.0,14901.0,415.0,349.0,1295.0,4031.0,4962.0,4264.0
357,1727.0,1096.0,1988.0,4.05,59276.0,63769.0,1458.0,393.0,2464.0,13614.0,24400.0,22898.0
359,5072.0,809325.0,2002.0,3.92,20177.0,22414.0,775.0,183.0,1163.0,5791.0,8425.0,6852.0
360,1332.0,2842984.0,1992.0,3.96,72426.0,83424.0,1788.0,856.0,4729.0,20017.0,28884.0,28938.0
365,1042.0,1042123.0,1987.0,3.97,89569.0,96230.0,2408.0,993.0,4735.0,22168.0,36270.0,32064.0
378,561.0,1782584.0,1961.0,4.22,178432.0,185392.0,8011.0,2848.0,6922.0,27918.0,56237.0,91467.0
386,9759.0,3328037.0,2004.0,3.77,8441.0,8963.0,909.0,221.0,718.0,2302.0,3340.0,2382.0
400,9232.0,1011400.0,1988.0,3.98,10195.0,11342.0,633.0,156.0,534.0,2312.0,4740.0,3600.0
415,3581.0,866393.0,1973.0,4.03,24990.0,28232.0,2466.0,1465.0,1916.0,4066.0,7569.0,13216.0
424,5146.0,1844.0,1968.0,4.24,17787.0,20348.0,1571.0,146.0,558.0,2866.0,7513.0,9265.0
428,5315.0,4703.0,1970.0,3.86,17411.0,18447.0,1440.0,321.0,1263.0,4385.0,7114.0,5364.0
431,2337.0,2343071.0,1987.0,3.92,34730.0,42965.0,2418.0,807.0,2663.0,9082.0,17098.0,13315.0
432,8588.0,2434710.0,1985.0,3.81,10157.0,11176.0,683.0,230.0,853.0,2758.0,4320.0,3015.0
446,5150.0,1991577.0,2005.0,3.81,15635.0,18350.0,1348.0,241.0,1057.0,4746.0,8145.0,4161.0
447,6844.0,168560.0,1989.0,3.99,12170.0,14552.0,622.0,149.0,674.0,3044.0,6009.0,4676.0
449,9905.0,1344597.0,1999.0,3.66,8272.0,9588.0,741.0,240.0,916.0,2828.0,3502.0,2102.0
456,7462.0,1128381.0,1992.0,3.95,10002.0,11794.0,517.0,105.0,490.0,2684.0,5165.0,3350.0
475,1969.0,1041106.0,2004.0,3.92,44238.0,47025.0,2667.0,779.0,2395.0,10680.0,19285.0,13886.0
597,3598.0,2226163.0,2005.0,3.85,23015.0,23614.0,1108.0,457.0,1414.0,5826.0,9442.0,6475.0
599,1392.0,929649.0,2003.0,3.75,56548.0,57867.0,3344.0,1756.0,4741.0,14755.0,21605.0,15010.0
621,8934.0,806311.0,2003.0,3.9,10091.0,10676.0,508.0,211.0,664.0,2680.0,3567.0,3554.0
629,546.0,175720.0,1974.0,3.76,139411.0,153992.0,6535.0,6589.0,14196.0,36227.0,49874.0,47106.0
647,5120.0,621375.0,1999.0,3.86,18792.0,20634.0,767.0,415.0,1279.0,4865.0,8205.0,5870.0
656,498.0,4912783.0,1869.0,4.11,168037.0,192992.0,8062.0,4952.0,9691.0,31876.0,60043.0,86430.0
662,255.0,817219.0,1957.0,3.68,283295.0,296645.0,14666.0,30901.0,27442.0,53762.0,78744.0,105796.0
665,8688.0,443285.0,1961.0,3.47,10198.0,10682.0,433.0,1337.0,1071.0,2463.0,2837.0,2974.0
667,903.0,287946.0,1938.0,3.62,95620.0,106766.0,7096.0,6095.0,10982.0,27984.0,34074.0,27631.0
668,4298.0,1711534.0,1936.0,3.89,20994.0,22571.0,1178.0,647.0,1531.0,5121.0,7689.0,7583.0
676,8492.0,752463.0,2001.0,4.24,10999.0,11254.0,575.0,213.0,352.0,1423.0,3853.0,5413.0
698,6870.0,3140490.0,2006.0,3.53,15484.0,17260.0,1974.0,290.0,1589.0,6406.0,6627.0,2348.0
703,3560.0,911456.0,2004.0,3.71,26262.0,29204.0,2482.0,633.0,2295.0,8049.0,12301.0,5926.0
706,1096.0,1589081.0,2004.0,4.02,74511.0,79555.0,1378.0,1072.0,3011.0,16474.0,31432.0,27566.0
760,1853.0,2166510.0,2004.0,3.59,33534.0,50285.0,3018.0,1379.0,4851.0,16568.0,17933.0,9554.0
771,1224.0,907243.0,1999.0,4.06,32626.0,69530.0,1563.0,1482.0,2773.0,12304.0,26557.0,26414.0
816,1142.0,1166797.0,1999.0,4.25,72683.0,81409.0,4342.0,1223.0,2983.0,10487.0,26399.0,40317.0
822,5306.0,934263.0,2004.0,4.24,17381.0,19175.0,621.0,144.0,580.0,2647.0,6995.0,8809.0
823,3314.0,1610031.0,2003.0,3.92,27675.0,30689.0,1776.0,997.0,2281.0,5852.0,10667.0,10892.0
825,7003.0,934262.0,1988.0,3.7,13353.0,14803.0,569.0,118.0,920.0,4989.0,6026.0,2750.0
827,1519.0,2181158.0,1995.0,4.19,61836.0,66621.0,2821.0,602.0,2255.0,10287.0,24102.0,29375.0
830,442.0,493634.0,1992.0,4.02,175883.0,187292.0,7075.0,7982.0,10158.0,29605.0,61336.0,78211.0
840,6937.0,18518.0,1988.0,4.18,11838.0,15202.0,1192.0,88.0,483.0,2327.0,6020.0,6284.0
865,35.0,4835472.0,1988.0,3.82,1299566.0,1403995.0,55781.0,74846.0,123614.0,289143.0,412180.0,504212.0
870,893.0,1959820.0,2002.0,4.49,93990.0,94768.0,1103.0,972.0,1734.0,8737.0,21751.0,61574.0
880,4268.0,268880.0,2003.0,3.79,22734.0,26679.0,1800.0,344.0,1682.0,7409.0,11015.0,6229.0
890,32.0,40283.0,1937.0,3.84,1467496.0,1518741.0,24642.0,46630.0,110856.0,355169.0,532291.0,473795.0
900,4908.0,387.0,2005.0,3.73,16698.0,19145.0,1517.0,702.0,1643.0,4766.0,6953.0,5081.0
902,857.0,869832.0,1978.0,4.03,117108.0,124343.0,7814.0,2682.0,6710.0,24165.0,41664.0,49122.0
903,4937.0,1731888.0,1967.0,3.81,26657.0,28206.0,1140.0,798.0,2070.0,7229.0,9716.0,8393.0
930,33.0,1558965.0,1997.0,4.08,1300209.0,1418172.0,25605.0,23500.0,59033.0,258700.0,517157.0,559782.0
952,7994.0,5166.0,1995.0,4.21,9744.0,12513.0,1329.0,97.0,350.0,1998.0,4476.0,5592.0
960,9.0,3338963.0,2000.0,3.85,2001311.0,2078754.0,25112.0,77841.0,145740.0,458429.0,716569.0,680175.0
968,26.0,2982101.0,2003.0,3.79,1447148.0,1557292.0,41560.0,71345.0,126493.0,340790.0,539277.0,479387.0
976,145.0,3135896.0,2001.0,3.67,455610.0,479733.0,7798.0,14380.0,45006.0,143182.0,160819.0,116346.0
998,2318.0,5210.0,1995.0,4.0,43937.0,46748.0,2049.0,645.0,2318.0,10382.0,16665.0,16738.0
1005,680.0,1199320.0,1937.0,4.17,87445.0,117444.0,3272.0,2764.0,5469.0,18408.0,33331.0,57472.0
1032,9670.0,1224415.0,1987.0,3.66,8768.0,10055.0,650.0,614.0,965.0,2595.0,2948.0,2933.0
1052,1684.0,5265.0,1926.0,4.23,50206.0,55675.0,2524.0,734.0,2052.0,8411.0,17013.0,27465.0
1067,687.0,3364186.0,2005.0,4.06,130293.0,135378.0,5963.0,3155.0,5468.0,23230.0,51681.0,51844.0
1078,461.0,2346070.0,1931.0,3.97,182220.0,193405.0,8259.0,5262.0,11487.0,38413.0,67056.0,71187.0
1097,398.0,2207547.0,2001.0,3.73,179347.0,183361.0,5063.0,7881.0,12314.0,47602.0,69009.0,46555.0
1103,273.0,1453585.0,2005.0,4.05,280475.0,290660.0,15807.0,3268.0,11286.0,56005.0,116178.0,103923.0
1110,1301.0,3204998.0,2005.0,3.77,65428.0,69823.0,2266.0,893.0,4463.0,21542.0,25960.0,16965.0
1171,1683.0,855103.0,1989.0,4.16,22315.0,53700.0,1678.0,458.0,1513.0,8684.0,21374.0,21671.0
1191,7385.0,5386.0,2006.0,3.99,12061.0,12081.0,68.0,484.0,582.0,2361.0,3795.0,4859.0
1192,2744.0,5387.0,2005.0,3.97,32751.0,32871.0,209.0,1008.0,1636.0,6966.0,10955.0,12306.0
1202,92.0,5397.0,2005.0,3.93,524191.0,549301.0,13668.0,14586.0,26538.0,115789.0,216316.0,176072.0
1232,258.0,3209783.0,2001.0,4.24,263685.0,317554.0,24652.0,4789.0,11769.0,42214.0,101612.0,157170.0
1241,383.0,3140930.0,2003.0,3.62,184241.0,189931.0,10857.0,9619.0,18950.0,51504.0,63727.0,46131.0
1274,573.0,55001.0,1998.0,3.52,113915.0,129520.0,4191.0,8235.0,15283.0,38147.0,36751.0,31104.0
1295,496.0,1584694.0,1980.0,4.02,176062.0,187874.0,5137.0,3977.0,10151.0,37279.0,63914.0,72553.0
1301,1154.0,416305.0,2003.0,4.24,66406.0,71498.0,4030.0,807.0,1589.0,9096.0,27836.0,32170.0
1303,2474.0,1297604.0,1988.0,4.18,37613.0,40152.0,2166.0,927.0,1790.0,5953.0,12041.0,19441.0
1305,4731.0,1154187.0,1998.0,4.4,17952.0,21093.0,1561.0,156.0,421.0,2190.0,6333.0,11993.0
1307,7274.0,728299.0,1991.0,4.05,14707.0,15554.0,183.0,80.0,588.0,3376.0,5968.0,5542.0
1319,2867.0,722104.0,2002.0,4.07,31399.0,37038.0,3578.0,992.0,2088.0,6294.0,11688.0,15976.0
1362,3404.0,488198.0,-440.0,3.97,28870.0,31985.0,864.0,879.0,1766.0,6820.0,10568.0,11952.0
1371,341.0,3293141.0,-750.0,3.83,241088.0,273565.0,4763.0,7701.0,20845.0,68844.0,89384.0,86791.0
1375,2142.0,1474309.0,-762.0,4.03,47825.0,51098.0,537.0,916.0,2608.0,10439.0,17404.0,19731.0
1381,79.0,3356006.0,-720.0,3.73,670326.0,710757.0,8101.0,29703.0,65629.0,183082.0,224120.0,208223.0
1420,125.0,1885548.0,1600.0,4.0,515820.0,576894.0,8889.0,10413.0,32697.0,121040.0,192937.0,219807.0
1426,4160.0,1179777.0,1997.0,3.69,19063.0,22985.0,1101.0,1164.0,2488.0,5804.0,6405.0,7124.0
1427,1506.0,3341790.0,2005.0,3.56,50921.0,56047.0,2731.0,2677.0,6561.0,16568.0,16990.0,13251.0
1428,1206.0,3249453.0,1994.0,3.57,62106.0,70825.0,3055.0,3569.0,8464.0,20303.0,21049.0,17440.0
1430,708.0,1950213.0,2003.0,3.69,102206.0,116141.0,5444.0,4444.0,11306.0,31202.0,38487.0,30702.0
1431,629.0,3287043.0,1998.0,3.69,111856.0,132191.0,6063.0,5217.0,12725.0,35174.0,43885.0,35190.0
1519,4149.0,2378.0,-458.0,3.99,24588.0,28162.0,705.0,323.0,1471.0,6415.0,9813.0,10140.0
1524,9281.0,1881648.0,-458.0,3.82,11515.0,11932.0,187.0,140.0,749.0,3486.0,4253.0,3304.0
1540,2052.0,5672.0,-401.0,3.96,42175.0,50789.0,1122.0,701.0,2795.0,11945.0,17804.0,17544.0
1554,824.0,3098166.0,-430.0,3.67,119496.0,134384.0,2129.0,3032.0,12324.0,42020.0,45436.0,31572.0
1591,4537.0,2482177.0,-411.0,3.84,25758.0,28283.0,653.0,619.0,1930.0,7250.0,9958.0,8526.0
